6.0,0.1012,1440,200.0,15,28.139464594127805,33.964532688907546,85.93026770293609,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.10066666666666667,1440,300.0,15,97.87176165803108,40.15792814741105,67.37607944732298,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.10110000000000001,1440,400.0,15,173.17400690846284,44.871610898424755,56.70649827288429,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.10083333333333333,1440,100.0,30,22.41839378238342,15.388087183659488,77.58160621761658,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.10110000000000001,1440,200.0,30,74.36139896373055,24.854322658015715,62.819300518134725,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.1002,1440,300.0,30,181.98229706390327,23.556427731755832,39.33923431203224,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.10125,1440,400.0,30,308.88212435233163,17.998592720527082,22.779468911917093,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.10023333333333334,1440,100.0,45,16.179188255613123,16.725137029142708,83.82081174438687,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.1004,1440,200.0,45,33.08333333333333,33.25033200531209,83.45833333333334,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.10046666666666666,1440,300.0,45,84.14119170984456,42.97122925484183,71.95293609671847,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
6.0,0.1003,1440,400.0,45,171.51165803108805,45.56098543746998,57.122085492227995,Conc. e temp VAGEM,Acido,pH=6 IMPUTADO (isoterma sem controle de pH registrado); tempo_min assumido (equilibrio 24h)
